DATE,NUMBER OF ELECTRIC VEHICLES,VEHICLE MODEL YEAR,VEHICLE MAKE,LOCATION,VEHICLE MODEL
06-01-24,1,2018,VOLKSWAGEN,KINGS COUNTY,E-GOLF
06-01-24,1,2020,KIA,ANTIGONISH COUNTY,NIRO
06-01-24,1,2021,HYUNDAI,HANTS COUNTY,KONA
06-01-24,1,2022,HYUNDAI,COLCHESTER COUNTY,KONA
06-01-24,1,2021,TESLA,LUNENBURG COUNTY,3
06-01-24,1,2022,HYUNDAI,KINGS COUNTY,KONA
06-01-24,1,2020,TESLA,HALIFAX COUNTY,3
06-01-24,1,2020,TESLA,HALIFAX COUNTY,3
06-01-24,1,2021,HYUNDAI,LUNENBURG COUNTY,KONA EV
06-01-24,1,2022,VOLVO,HALIFAX COUNTY,XC40
06-01-24,1,2021,TESLA,HALIFAX COUNTY,3
06-01-24,1,2021,TESLA,KINGS COUNTY,3
06-01-24,1,2021,TESLA,LUNENBURG COUNTY,Y
06-01-24,1,2022,HYUNDAI,HALIFAX COUNTY,KONA
06-01-24,1,2022,MINI,HANTS COUNTY,COOPERSE3DOOR
06-01-24,1,2021,TESLA,CAPE BRETON COUNTY,YGE
06-01-24,1,2021,HYUNDAI,HALIFAX COUNTY,KONA
06-01-24,1,2013,NISSAN,COLCHESTER COUNTY,LEAF
06-01-24,1,2015,NISSAN,HALIFAX COUNTY,LEAF
06-01-24,1,2014,NISSAN,HALIFAX COUNTY,LEAF
06-01-24,1,2014,NISSAN,LUNENBURG COUNTY,LEAF
06-01-24,1,2013,TESLA,HALIFAX COUNTY,S
06-01-24,1,2019,HYUNDAI,LUNENBURG COUNTY,IONIQ EV
06-01-24,1,2017,KIA,HALIFAX COUNTY,SOUL
06-01-24,1,2018,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2018,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2019,JAGUAR,HALIFAX COUNTY,EV 400 HSE
06-01-24,1,2015,NISSAN,HANTS COUNTY,LEAF
06-01-24,1,2019,AUDI,HALIFAX COUNTY,E-TRON
06-01-24,1,2019,CHEVROLET,HALIFAX COUNTY,BOLT
06-01-24,1,2019,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2020,TESLA,YARMOUTH COUNTY,MODEL 3
06-01-24,1,2020,HARLEY DAVIDSON,ANTIGONISH COUNTY,ELW
06-01-24,1,2019,CHEVROLET,HALIFAX COUNTY,BOLT
06-01-24,1,2020,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2020,TESLA,HALIFAX COUNTY,MODEL X
06-01-24,1,2020,HYUNDAI,KINGS COUNTY,KONA EV
06-01-24,1,2020,TESLA,COLCHESTER COUNTY,MODEL Y
06-01-24,1,2021,HYUNDAI,HALIFAX COUNTY,KONA
06-01-24,1,2020,TESLA,HALIFAX COUNTY,MODEL X
06-01-24,1,2019,CHEVROLET,KINGS COUNTY,BOLT
06-01-24,1,2019,AUDI,HALIFAX COUNTY,E-TRON
06-01-24,1,2018,TESLA,HALIFAX COUNTY,3
06-01-24,1,2021,HYUNDAI,HALIFAX COUNTY,KONA ELECTRIC
06-01-24,1,2020,HYUNDAI,HALIFAX COUNTY,IONIQ
06-01-24,1,2020,HYUNDAI,HALIFAX COUNTY,IONIQ
06-01-24,1,2019,TESLA,ANNAPOLIS COUNTY,3
06-01-24,1,2020,MINI,HALIFAX COUNTY,COOPER SE
06-01-24,1,2020,CHEVROLET,HALIFAX COUNTY,BOLT
06-01-24,1,2021,HYUNDAI,HALIFAX COUNTY,KONA EV
06-01-24,1,2021,KIA,GUYSBOROUGH COUNTY,KONA
06-01-24,1,2021,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2018,TESLA,COLCHESTER COUNTY,3
06-01-24,1,2021,HYUNDAI,PICTOU COUNTY,KONA
06-01-24,1,2021,HYUNDAI,CAPE BRETON COUNTY,KONA EV
06-01-24,1,2020,KIA,HALIFAX COUNTY,SOUL
06-01-24,1,2021,TESLA,HALIFAX COUNTY,MODEL Y
06-01-24,1,2021,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2021,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2019,TESLA,CUMBERLAND COUNTY,MODEL 3
06-01-24,1,2021,TESLA,HALIFAX COUNTY,3
06-01-24,1,2022,KIA,KINGS COUNTY,SOUL EV (SK3 EV)
06-01-24,1,2003,IDEAL,CAPE BRETON COUNTY,CARGO
06-01-24,1,2004,SOLAR ARROW,COLCHESTER COUNTY,AB15-75
06-01-24,1,2013,BIL-JAX,DIGBY COUNTY,4527.0A
06-01-24,1,2013,ASTEC,ANTIGONISH COUNTY,PSS-412-60
06-01-24,1,2012,TEREX,ANTIGONISH COUNTY,JAW CRUSHER
06-01-24,1,2021,VER-MAC,ANTIGONISH COUNTY,ST-4X8
06-01-24,1,2021,VER-MAC,ANTIGONISH COUNTY,ST-4X8
06-01-24,1,2014,TESLA,HALIFAX COUNTY,MODEL S
06-01-24,1,2014,JUNGHEINRICH LIFT TRUCK,HALIFAX COUNTY,EFG115
06-01-24,1,2019,HYUNDAI,HALIFAX COUNTY,KONA
06-01-24,1,2015,NISSAN,HALIFAX COUNTY,LEAF
06-01-24,1,2012,NISSAN,CAPE BRETON COUNTY,LVL
